Question,answer,A,B,C,D,E
患者王某，全身泛发丘疹、斑丘疹2天，9天前有因感冒服用阿莫西林史，2天前躯干起针尖至米粒大小的丘疹或斑丘疹，色鲜红，伴瘙痒，后皮损很快密集融合，伴有发热，口唇焦燥，口渴不欲饮，小便黄，舌绛，苔少，脉洪数，诊断为,B,荨麻疹型药疹,麻疹样型药疹,多形红斑型药疹,湿疹样型药疹,剥脱性皮炎型药疹
上一题所述患者在入院后第二天，皮疹泛发全身，且躯干部皮损变为紫红，甚至出现紫斑，患者呈高热，舌红绛，苔少如镜面，现辨证为,D,风热型,湿热型,血热型,热毒人营,气阴两虚
大疱性表皮松解型患者宜用何法何方治疗,C,疏风解表，清热解毒。银翘散加减,清热利湿解毒。草薛渗湿汤加减,清营凉血，解毒护阴。清营汤加减,益气养阴解毒。增液汤合益胃汤加减,清热凉血解毒。犀角地黄汤合黄连解毒汤加减
下列哪一项不是发生药疹的特点,B,特异性体质,与引起反应的药量有关,对药物有易感性,对抗过敏药物有效,有一定潜伏期
药毒诊断要点下列哪一项是错误的,D,有用药史,有一定的潜伏期,除固定性药疹外皮疹多为对称或广泛分布,停止用药后常有复发倾向,发病突然，伴发热，局部灼热、瘙痒感
引起药毒最常见的给药途径是,A,口服、注射,吸入,栓塞,皮肤吸收,以上均不是
药毒的临床处理首先应该是,B,抗过敏,肾上腺皮质激素,中药内服,对症治疗,以上均不是
药物性皮炎大疱性表皮松解型的临床特点哪项不正确,D,该型发病较急,皮疹为大片鲜红色或紫红色斑片，自觉灼痛，迅速出现松弛性水疱及大疱，形似烫伤,肝、肾、心、脑等常同时受累,本型治疗效果显著，预后较好,以上均不是
皮损为豌豆至蚕豆大、圆形或椭圆形水肿性红斑或丘疹，中央常有水疱，边缘带紫色，属,B,荨麻疹样型,多形红斑样型,剥脱性皮炎型,大疱性表皮松解型,麻疹样或猩红热样型
初期为麻疹、猩红热样表现，继而全身潮红、肿胀，大量脱屑，属,C,荨麻疹样型,多形红斑样型,剥脱性皮炎型,大疱性表皮松解型,麻疹样或猩红热样型
皮损为大片鲜红或紫红色斑片，迅速出现松弛性水疱及大疱，尼氏征阳性，属,D,荨麻疹样型,多形红斑样型,剥脱性皮炎型,大疱性表皮松解型,麻疹样或猩红热样型
发病前有上呼吸道卡他症状，口腔粘膜可见小点状白色科泼力克氏斑的是,B,麻疹样或猩红热样型药毒,麻疹,猩红热,多形红斑,荨麻疹
典型者可出现杨梅舌、口周苍白圈的是,C,麻疹样或猩红热样型药毒,麻疹,猩红热,多形红斑,荨麻疹
患者郝某，男。6岁，15天前因咽喉疼痛，院外静注“双黄连”等针剂后，2天前躯干部皮肤出现大小不等的红斑，伴瘙痒，后红斑融合，且出现水疱，液清，尼氏征(+)。疱易破，糜烂渗液，伴烦躁，口干，大便干结，小便黄赤，高热，舌红，苔黄，脉滑数。治疗宜用,D,银翘散加减,清营汤加减,龙胆泻肝汤加减,萆薛渗湿汤加减,增液汤合益胃汤加减
上一题所述患儿在应用激素及中药治疗11天后，皮损渐消退，伴有口渴，乏力，气短，大便干，尿黄，少苔，脉细数，治疗宜用,E,银翘散加减,清营汤加减,龙胆泻肝汤加减,萆薛渗湿汤加减,增液汤合益胃汤加减
风瘙痒相当于西医的,C,荨麻疹,神经性皮炎,皮肤瘙痒症,疥疮,湿疹
关于描述风瘙痒“遍身瘙痒，并无疮疥，搔之不止。”的论述出自,D,《外科启玄》,《疡科心得集》,《外科正宗》,《外科证治全书》,《医宗金鉴》
风瘙痒主要有以下除哪项以外的临床表现,C,主要表现为阵发性瘙痒，尤以夜间为重,临床上可分为局限性、泛发性两种,皮疹多形性,无原发性皮损，由于剧烈搔抓，可引起继发性皮损,常因瘙痒剧烈而影响睡眠
风瘙痒的辨证分型为,D,风热证、血热证,风热血热证、湿热内蕴证,风热血热证、血虚生风证,风热血热证、湿热内蕴证、血虚肝旺证,湿热内蕴证、血虚肝旺证
以下哪项不属于风瘙痒的病因病机,D,血热内蕴，外感之邪侵袭,气血亏虚，风邪外袭,饮食不节，损伤脾胃，郁于皮肤腠理而发本病,毒邪侵入皮肤，蕴郁化热，邪热与气血相搏而发病,以上均不是
以下哪项不属于风瘙痒的临床证型,D,风热血热证,湿热内蕴证,血虚肝旺证,血虚风燥证,以上均不是
以下哪项属于风瘙痒的临床特点,D,起病较快，常对称发生,多见于四肢、面部、外阴、肛门等处,皮疹多形性,初无原发性皮损，由于剧烈搔抓，可引起继发性皮损,以上均不是
好发于皮肤皱褶处，皮疹以丘疱疹为主的是,B,虱病,疥疮,风瘙痒,瘾疹,面游风
全身皮肤瘙痒，主要发生在头部、阴部的是,A,虱病,疥疮,风瘙痒,瘾疹,面游风
无原发性皮损的阵发性瘙痒，尤以夜间为重的是,C,虱病,疥疮,风瘙痒,瘾疹,面游风
风瘙痒的治则为,A,祛风清热凉血,清热利湿解毒,杀虫止痒,清热利湿止痒,以上均不正确
疥疮的治则为,C,祛风清热凉血,清热利湿解毒,杀虫止痒,清热利湿止痒,以上均不正确
药毒的治则为,B,祛风清热凉血,清热利湿解毒,杀虫止痒,清热利湿止痒,以上均不正确
瘾疹的皮损特点是,D,呈带状分布的红斑上成簇的水疱,皮肤粘膜交界处成群的水疱,皮肤上浅表性脓疱和脓痂,瘙痒性风团，发无定处，骤起骤退，消退后不留任何痕迹,对称分布，多形损害，剧烈瘙痒
“邪气客于皮肤，复逢风寒相折，则起风瘙瘾疹。”是出自,B,《疡科心得集》,《诸病源候论》,《外科证治全书》,《外科启玄》,《外科精要》
下列哪项不是瘾疹的病因病机,E,禀赋不耐，卫外不固，风邪乘虚侵袭,风寒、风热客于肌表,肠胃湿热郁于肌表,气血不足，虚风内生,风湿热邪浸淫肌肤
瘾疹单纯发生于眼睑、口唇等组织疏松处，出现浮肿，边缘不清，而无其他皮损者称为,C,粟疮,血风疮,游风,白屑风,疠风
患者胡某，男，25岁，晨起跑步时偶遇风后，全身泛发风团，色白，伴瘙痒，发无定处，成批发生，用温水清洗后皮损很快消退，口不渴，舌淡，苔白，脉浮紧。宜选用,B,消风散,麻黄桂枝各半汤,麻黄附子细辛汤,当归饮子,四物消风散
患者王某，女，24岁，8个月前因食用鱼虾后，全身起风团，后反复发作，迁延日久，每次发作时原因不明，瘙痒明显，舌淡红，苔白，脉沉细。宜选用,,桂枝汤,四物消风散,当归饮子加减,八珍汤,消风散
下列哪一项与瘾疹关系最密切,,总由禀赋不耐，邪毒内扰所致,治以清热利湿止痒为主,根据病程的长短，可分为急性和慢性两种,多见于夏、秋季节，多发于暴露部位,一般有风寒束表、风热犯表、胃肠湿热三证
瘾疹的辨证分型哪项不正确,,风寒束表证,风热犯表证,胃肠湿热证,血虚肝旺证,血虚风燥证
女性瘾疹患者常在月经前数天开始出风团，往往随着月经的干净而消失，但在下次月经来潮时又发作，可伴有痛经或月经不调。此乃由于,C,气血两虚,肝肾不足,冲任不调,胃肠湿热,以上均不是
瘾疹的诊断依据哪项不正确,D,发病突然，皮损可发生于任何部位,皮损为形态不一、大小不等的红色或白色风团,自觉灼热、瘙痒剧烈,皮损初期局限于一处，随后常发展成对称性,以上均不是
瘾疹的辨证分型为,D,风寒束表证、风热犯表证,胃肠湿热证、血虚风燥证,风寒束表证、风热犯表证、胃肠湿热证,胃肠湿热证、血虚风燥证、风寒束表证、风热犯表证,以上均不是
瘾疹的辨证分型哪项不正确,C,风寒束表证,风热犯表证,脾虚湿蕴证,血虚风燥证,以上均不是
丘疹性荨麻疹的皮损特点为,C,风团可发生于任何部位，境界清楚，一般迅速消退，不留痕迹，时隐时现。重者口唇、包皮及喉头血管神经性水肿,初期为麻疹样或猩红热样皮疹，继则全身皮肤潮红肿胀，以后大量脱屑或出现水疱及广泛性糜烂,好发于儿童，以四肢、臀部、腰部多见，皮损为风团性丘疹或小水疱,皮疹为豆大至硬币大小之圆形微水肿的紫红色斑，边缘色素较淡，中央较深，界限清，多分布于口腔、唇周、外阴与四肢末端,皮疹为圆形或椭圆形的水肿性紫红色斑，有的斑疹上出现水疱，以阴部、口角等处多见
瘾疹的皮损特点为,A,风团可发生于任何部位，境界清楚，一般迅速消退，不留痕迹，时隐时现。重者口唇、包皮及喉头血管神经性水肿,初期为麻疹样或猩红热样皮疹，继则全身皮肤潮红肿胀，以后大量脱屑或出现水疱及广泛性糜烂,好发于儿童，以四肢、臀部、腰部多见，皮损为风团性丘疹或小水疱,皮疹为豆大至硬币大小之圆形微水肿的紫红色斑，边缘色素较淡，中央较深，界限清，多分布于口腔、唇周、外阴与四肢末端,皮疹为圆形或椭圆形的水肿性紫红色斑，有的斑疹上出现水疱，以阴部、口角等处多见
风团色白，遇寒加重，得暖则减；瘙痒难忍，舌淡红，苔薄白，脉浮紧，诊为,A,风寒束表证型瘾疹,风热犯表证型瘾疹,胃肠湿热证型瘾疹,血虚风燥证型瘾疹,以上均不是
风团片大、色红、瘙痒剧烈；脘腹疼痛，神疲纳呆，大便秘结或泄泻，舌质红，苔黄腻，脉弦滑数，诊为,C,风寒束表证型瘾疹,风热犯表证型瘾疹,胃肠湿热证型瘾疹,血虚风燥证型瘾疹,以上均不是
牛皮癣相当于西医的,C,银屑病,红色毛糠疹,神经性皮炎,荨麻疹,扁平苔藓
关于牛皮癣“牛皮癣如牛项之皮，顽硬且坚，抓之如朽木。”的描述出自,D,外科证治全书,外科全生集,外科精义,外科正宗,外科精要
牛皮癣的皮损特点为,C,瘙痒性风团，发无定处，骤起骤退，消退后不留任何痕迹,对称分布，多形损害，剧烈瘙痒,皮损是圆形或多角形的扁平丘疹融合成片，极易形成苔藓样变,皮损为暗红、淡紫色或皮肤色多角形扁平丘疹，有蜡样光泽、网状纹,皮损为基底呈淡红色，上覆银白色鳞屑，剥后有薄膜现象和点状出血
牛皮癣的皮疹是,B,初起为米粒大至黄豆大红色丘疹或斑丘疹，以后扩大成片,扁平多角形丘疹，融合扩大成片，呈苔藓样变,皮疹色鲜红，针头至米粒大小丘疹或斑丘疹,皮疹为豆大至钱币大小、圆形或椭圆形、轻度水肿的紫红色斑疹，中央色素较深,皮损为基底呈淡红色，上覆银白色鳞屑，剥后有薄膜现象和点状出血
以下哪项不是牛皮癣的症状特点,E,局部皮肤增厚，干燥成席纹状,大多数发于颈项部、额部,本病可以泛发全身,瘙痒较甚,严重时可见汗水淋漓
扁平丘疹，皮肤增厚、干燥成席纹状，稍有脱屑，有阵发性奇痒，在情绪波动时症状加重,B,白疟,牛皮癣,白屑风,慢性湿疹,风瘙痒
牛皮癣主要有以下除哪项以外的临床表现,A,与季节有关，常夏轻冬重,皮疹为圆形和多角形扁平丘疹融合成苔藓样变,慢性病程，易反复发作,大多数见于颈项部、额部等磨擦部位,自觉阵发性奇痒
肘部呈苔藓样斑片，表面粗糙。周围有扁平多角形坚实丘疹，诊断为,C,接触性皮炎,慢性湿疮,牛皮癣,白癜风,以上均不是
牛皮癣的病因病机多为,D,风邪袭表，气血失和,脾经湿热，外受风邪,心经热盛，生风作痒,风湿热之邪阻滞肌肤，久滞血虚生风化燥,以上均不是
牛皮癣临床辨证分为,B,血热证、血燥证,肝郁化火证、风湿蕴肤证、血虚风燥证,风寒束表证、风热犯表证、血虚风燥证,脾胃湿热证、血虚肝旺证,以上均不是
下列哪一项与牛皮癣关系密切,C,可分为寻常型、关节型、脓疱型、红皮病型,可分为血热型、血燥型、血瘀型、冲任不调型,大多数见于颈项部、额部、尾骶、肘窝等处，常对称分布,治宜清热凉血、祛风止痒,以上均不是
病变多在四肢屈侧，皮损多为苔藓样变，但仍有丘疹、小水疱、点状糜烂、流滋等，诊为,E,白疟,白屑风,牛皮癣,油风,慢性湿疹
皮损基底呈淡红色，上覆银白色鳞屑，剥去后有薄膜现象和点状出血，诊为,A,白疟,白屑风,牛皮癣,油风,慢性湿疹
皮损多是圆形或多角形的扁平丘疹融合成片，剧烈瘙痒，搔抓后皮损肥厚，皮沟加深，易形成苔藓样变，诊为,C,白疟,白屑风,牛皮癣,油风,慢性湿疹
瘾疹与牛皮癣的血虚风燥证均可用,A,当归饮子加减,凉血四物汤加减,祛风换肌丸,生血润肤饮加减,以上均不是
血虚风燥型的湿疮可用,A,当归饮子加减,凉血四物汤加减,祛风换肌丸,生血润肤饮加减,以上均不是
猫眼疮相当于西医的,E,接触性皮炎,结节性红斑,冻疮,离心性红斑,多形性红斑
关于猫眼疮的记载“此证一名寒疮， 每生于面及遍身，由脾经久郁湿热，复被外寒凝结而成，初起形如猫眼，光彩闪烁，无脓无血，但痛痒无常，久则近胫。”出自何书,B,《疡科心得集》,《医宗金鉴》,《外科证治全书》,《外科精要》,《外科精义》
以下哪一项为猫眼疮的特点,B,群集水疱，环状排列，剧烈瘙痒,皮损多形性，具有虹膜样特征性红斑,皮损呈多形性，对称发作，反复发作，易转为慢性,好发于肢端，粘膜无损害，红斑浸润显著,皮损为暗红、淡紫色或皮肤色多角形扁平丘疹
以下哪一项不属于重症猫眼疮临床特点,C,常起病急，皮损广泛分布全身各处,皮肤损害呈多形性,皮损为大片鲜红或紫红色斑片，自觉灼热，迅速出现松弛性水疱,粘膜损害广泛而严重，死亡率较高,眼部损害可造成视力减退甚至失明
以下哪一项不属于猫眼疮的临床证型,D,风寒阻络证,风热蕴肤证,湿热蕴结证,风热犯肤证,以上均不是
猫眼疮的临床证型分为,D,风寒阻络证、风热蕴肤证,湿热蕴结证、火毒炽盛证,风寒阻络证、湿热蕴结证、火毒蕴结证,风寒阻络证、风热蕴肤证、湿热蕴结证、火毒蕴结证,以上均不是
关于猫眼疮的病因病机下列说法正确的是,D,风湿热邪久滞，血虚生风化燥,血热外感风热，以致营卫不和，气血凝滞，郁于肌肤,风邪袭表而致气血失和,先天禀赋不耐，腠理不密，感受不耐之物，搏于肌肤而成,以上均不是
发病急，皮损呈多形性，具有虹膜样特征性红斑，可累及粘膜及内脏的是,E,冻疮,疱疹样皮炎,湿疮,扁平苔藓,猫眼疮
多发于四肢、躯干，皮损以环形排列的群集水疱为主的是,B,冻疮,疱疹样皮炎,湿疮,扁平苔藓,猫眼疮
